,Questions,Answers
1004,የአዳም ረታ የመጀመርያ መፅሃፍ ምንድን ነው?,አባ ደፋር እና ሌሎች አጫጭር ታሪኮች
1005,አዳም ረታ የመጀመሪያ ዲግሪውን በምን ዘርፍ ነበር ያገኘው?,በጂኦግራፊ
1006,“እቴሜቴ ሎሚ ሽታ” በተሰኘው መፅሀፍ ላይ ምን አይነት ያጻጻፍ ስልት ተጠቅሟል?,ሕጽናዊነት
1007,ለመጀመሪያ ጊዜ መቼቱን ከሀገር ውጭ ያደረገበት መፅሃፍ ምንድን ነው?,ይወስዳል መንገድ ያመጣል መንገድ
1008,አዳም ረታ መቼ ተወለደ?,በ1950 ዓ.ም
1009,አለቃ ደስታ የት ተወለዱ?,በሸዋ ጠቅላይ ግዛት በተጉለትና ቡልጋ አውራጃ ላይ ወግዳ ጎሽ ውኃ ቀበሌ
1010,አለቃ ደስታ መቼ ተወለዱ?,ሐምሌ 19 ቀን 1893 ዓ.ም.
1011,አለቃ ደስታ ያረፉት መቼ ነው?,ጳጉሜን 2 ቀን 1977 ዓ.ም.
1012,የኢትዮጵያ ዕውቅ የቤተክርስቲያን ሊቅ፣ የመዝገበ ቃላት አዘጋጅና ደራሲ ማን ናቸው?,አለቃ ደስታ ተክለወልድ
1013,አለቃ ደስታ ተክለወልድ በብርሃንና ሰላም ቀዳማዊ ኃይለ ሥላሴ ማተሚያ ቤት በምን ስራ አገልግለዋል?,ቅዱሳት መጻሕፍትን በማረምና በማስተካከል
1014,አለቃ ደስታ ተክለወልድ በብርሃንና ሰላም ቀዳማዊ ኃይለ ሥላሴ ማተሚያ ቤት ከመቼ እስከ መቼ ሰሩ?,ከ1916 እስከ 1920 ዓ.ም.
1015,የእስክንድርያ ማስተማርያ ቤት በየት የሚገኝ ትምህርት ቤት ነበር?,በእስክንድርያ፣ ግብጽ
1016,የእስክንድርያ ማስተማርያ ቤት ከመቼ እስከ መቼ አገልግሎት ሲሰጥ ነበር?,54-373 ዓም
1017,የእስክንድርያ ማስተማርያ ቤት የምን ትምህርት የሚሰጥበት ተቋም ነበር?,የክርስትና ሥነ መለኮት ትምህርት 
1018,የእስክንድርያ ሥነ መለኮት ትምህርት ቤት መቼ ተመሰረተ?,በ54 ዓም
1019,ከ173-182 ዓም በማን መሪነት ነበር ተቋሙ በትምህርቱ ታዋቂ የሆነው?,በፓንታይኖስ
1020,በፓንታይኖስ መሪነት ተቋሙ በትምህርቱ ታዋቂ የሆነው መቼ ነበር?,173-182 ዓም
1021,ፓንታይኖስ ከመጠመቁ በፊት የምን ፍልስፍና ተከታይ ነበር?,የግሪኮች «ስቶዊሲሲም»
1022,ከፓንታይኖስ በኋላ የእስክንድርያ ትምህርት ተቋሙ ማን መምራት ጀመረ?,ቀሌምንጦስ ዘእስክንድርያ
1023,ቀሌምንጦስ ዘእስክንድርያ የእስክንድርያ ትምህርት ተቋምን ከመቼ እስከ መቼ መራ?,ከ182-194 ዓም
1024,ከቀሌምንጦስ በኋላ ማን ተቋሙን ተረከበ?,ኦሪገኔስ
1025,ዳምጠው አየለ በስንት ዓመቱ ሞተ?,በ 62 አመቱ
1026,የዳምጠው አየለ ሁለቱ ልጆች ማን ማን ይባላሉ?,አብዩ ዳምጠውና ቤቴልሄም ዳምጠው
1027,ዳምጠው አየለ በመራቤቴ ሳለ ምን ያደርግ ነበር?,በየባእላቱ መዝፈን፣ ማቅራራት እንዲሁም መሸለል
1028,ዳምጠው አየለ ወደ አዲስ አበባ ይዞት የመጣው ማነው?,ክፍሌ ሞገስ
1029,ዳምጠው አየለ ወደ አዲስ አበባ ሲመጣ የትምህርት ደረጃው ስንተኛ ነበር?,የ 6ኛ ክፍል 
1030,ዳምጠው አየለ ወደ አዲስ አበባ ይዘውት የመጡት ክፍሌ ሞገስ ምኑ ነበሩ?,መምህሩ
1031,ዳምጠው አየለ መነሻ የሆነው ዘፋኝ ማነው?,አበበ ተሰማ 
1032,ዳምጠው አየለ ምድር ጦር ለምን ያህል ጊዜ አገለገለ?,ከ 30 አመት በላይ
1033,ምድር ጦር የሙዚቃ ቡድን መቼ ተመሰረተ መቼስ ፈረሰ?,በ1927 አ/ም ተመስርቶ በ1983 አ/ም
1034,ዳምጠው አየለ የመጀመሪያው አልበሙ መቼ ተለቀቀ ምንስ ይሰኝ ነበር?,በ1963 አ/ም
1035,ዳምጠው አየለ የመጀመሪያው አልበሙ ምን ይሰኝ ነበር?,ወፌ ላላ 
1036,ዳምጠው አየለ የመጀመሪያው ወፌ ላላ የተሰኘ አልበሙ የምን ሥራ ነበር?,የሸክላ ስራ
1037,ዳምጠው አየለ ከኢትዮጵያ ውጭ የት አገር ኖሯል?,ኖርዌይ
1038,ዳምጠው አየለ መቼ ተወለደ?,በሃምሌ 23 1944 አ/ም
1039,የዳምጠው አየለ ባለቤት ማን ይባላሉ?,አልማዝ ይመር
1040,ዳምጠው አየለ ስንት ልጆች አሉዋቸው?,ሁለት
1041,ዳምጠው አየለ ስንት አልበም ሰርቷል?,13
1042,ዳምጠው አየለ ህይወቱ መቼ አለፈ ?,ሰኔ 27 2006 አ/ም
1043,ዳምጠው አየለ ትምህርቱን በየት ትምህርት ቤት ተከታተለ?,መራኛ አንደኛ ደረጃ ትምህርት ቤት
1044,ቅዱስ ላሊበላ ከዚህ ዓለም በስንት ዓመቱ አረፈ?,በ 97 አመቱ 
1045,የቡጉር መፈጠር ምንን ያስከትላል?,የቆዳ ህዋሳትን ያበዛል
1046,የጸጉር መውጫ ቀዳዳዎች ከቆዳ ስር በሚገኙ የወዝ እጢዎች በሚመነጭ ቅባት ወይም ወዝ እና በሞቱ የቆዳ ህዋሳት በብዛት መከማቸትና በቀዳዳው መደፈን የሚፈጠር እባጭ ምን ይባላል?,ብጉር
1047,ብጉርን ሊያባብስ የሚችል ነገር ምንድን ነው?,ጭንቀት
1048,ብጉር በብዛት ሊወጣ የሚችልባቸው ቦታዎች ምን ምን ናቸው?,ፊት ላይ፣ በደረት፣ በኣንገት፣ በትከሻ ፣ እና በጀርባ ላይ
1049,በ1913 የአሜሪካ ፕሬዝዳንት የነበረው ማን ነው?,ዋረን ሃርዲንግ
1050,በ1913 የሄርበርት ሁቨር የስራ መስካቸው ምን ነበሩ?,የአሜሪካ የንግድ ሚኒስትር
1051,ሄርበርት ሁቨር በፅሁፍ ፕሬዝዳንት የሆነው መቼ ነው?,በ1920
1052,ሄርበርት ሁቨር በይፋ ፕሬዝዳንት የሆነው መቼ ነው?,በ1922
1053,ሄርበርት ሁቨርን ተቃርኖ በምርጫ የተወዳደረው ሰው ማን ነው?,ፍራንክሊን ሮዘቨልት
1054,ሄርበርት ሁቨር መቼ ስልጣናቸውን ለቀቁ?,በ1925
1055,ሄርበርት ሁቨር መቼ ተመረቀ?,በ1887 ዓ.ም. 
1056,ሄርበርት ሁቨር በምን ተመረቀ?,ጂዮሎጂ ዲግሪ
1057,31ኛው የአሜሪካ ፕሬዝዳንት ማን ነበሩ?,ሄርበርት ሁቨር
1058,ሄርበርት ሁቨር ከመቼ እስከ መቼ የአሜሪካ ፕሬዝደንት ነበሩ?,ከ1921 እስከ 1925 ዓ.ም. 
1059,ሄርበርት ሁቨር የሕይወት ዘመናቸው ከመቼ እስከ መቼ ነበር?,1866 - 1957 ዓ.ም.
1060,የሄርበርት ሁቨር የትውልድ ቦታው የት ነው?,ከስዊስና ጀርመን
1061,ሄርበርት ሁቨር ወላጆች ከሞቱ በኃላ ማን ነው ያሳደገው?,ከአጎቱ
1062,ሄርበርት ሁቨር በየት ዩንቨርስቲ ተማረ?,በስታንፎርድ ዩኒቨርሲቴ
1063,ሄርበርት ሁቨር ምን ያህል አሜሪካውያን ቱሪስቶችና ሠራተኞች ከአውሮፓ ወደ አገራቸው መልሰዋል?,"120,000 "
1064,ሄርበርት ሁቨር አሜሪካውያን ወደ ሀገራቸው እንዲመለሱ ያደረጉት በምን ምክነያት ነው?,መጀመርያው ታላቅ አለማዊ ጦርነት በ1906 ዓ.ም. በጀመረበት ወቅት
1065,የካሣ የትዳር አጋር ማን ትባላለች?,ሊና  ኑር አሕመድ 
1066,ካሳ ስንት ልጆች ወለደ?,ሁለት
1067,ካሳ እንዴት የጋዘጠኝነት ሙያውን አንድ ብሎ የጀመረው?,የሚኒ ሚዲያ ክበብ
1068,ካሳ በትምህርት ቤቱ ሚኒ ሚዲያ ክለብ ውስጥ አንቢገባ ያደረጉት ማን ናቸው?,መምህር ግርማ ይገዙ
1069,አቡነ አረጋዊ በየት አካባቢ ተወለዱ?,ሮም
1070,አቡነ አረጋዊ መቼ ተሰወሩ?,ጥቅምት አሥራ አራት
1071,ለአቡነ አረጋዊ ወላጆቻቸው ያወጡላቸው ስም ማን ይባላል?,ዘሚካኤል
1072,አቡነ አረጋዊ ማን ዘንድ ስርዓተ ምንኩስናን ተማሩ?,አባ ቴዎድሮስ
1073,አቡነ አረጋዊ በገዳመ ዳውናስ (ግብጽ) የማን ደቀመዝሙር ነበሩ?,የታላቁ ቅዱስ ጳኩሚስ
1074,አቡነ አረጋዊ በሮም ምን ያህል የቤተ መንግስት ሰዎች ወደ ምናኔ ማረኩ?,ሰባት
1075,ዘጠኙ ቅዱሳን መቼ ወደ ኢትዮጵያ መጡ?,በ፬፻፶፩ ዓም
1076,አቡነ አረጋዊ ከብዙ ፍለጋ በኋላ በስተመጨረሻ በየት ተቀመጡ?,ደብረ ዳሞ
1077,አቡነ አረጋዊ በየት መጽሐፍትን ተረጎሙ?,በቤተ ቀጢን (አክሱም)
1078,አቡነ አረጋዊ እድሜያቸው ስንት ሲሆን ወደ ብሔረ ህያዋን ሄዱ?,ዘጠና ዘጠኝ አመት
1079,አቡነ አረጋዊ መቼ ተወለዱ?,በአምስተኛው መቶ ክፍለ ዘመን አጋማሽ አካባቢ
1080,የአቡነ አረጋዊ ወላጆች ማን ናቸው?,ንጉሥ ይስሐቅ እና ቅድስት እድና
1081,ቅዱስ ባስሊዮስ ዘቄሣርያ የትኞቹን የእምነት ተከታዮት ወደ ክርስትና መለሱ?,አርያኒዝምንና የአፖሊናረስን ተከታዮችን
1082,ቅዱስ ባስሊዮስ ዘቄሣርያ የትውልድ ስፍራቸው በየት ነው?,በቀጰዶቂያ
1083,ቅዱስ ባስሊዮስ ዘቄሣርያ መቼ ተወለዱ?,በ፫፻፳  ዓም
1084,የቅዱስ ባስሊዮስ ዘቄሣርያ ጋደኛ ማን ናቸው?,ጎርጎርዮስ ናዚያንዘስን 
1085,ቅዱስ ባስሊዮስ ዘቄሣርያ ለምን ወደ ቁስጥጥኒያ ሄዱ?,ለከፍተኛ ትምህርትና በተጨማሪ የሊባኒየስን ትምህርታዊ ንግግር ለማጥናት 
1086,ቅዱስ ባስሊዮስ ዘቄሣርያ እና ጋደኛው በአቴንስ ለስንት አመት ተቀመጡ?,ለስድስት ዓመት 
1087,ቅዱስ ባስሊዮስ ዘቄሣርያ የት ተማሩ?,ካይዜሪ (ቱርክ) ትምህርት ቤት
1088,ቅዱስ ባስሊዮስ ዘቄሣርያ ማን ናቸው?,የቄሣርያ ኤጲስ ቆጶስ
1089,አባ ጊዮርጊስ ዘጋስጭ መቼ ተወለዱ?,በ፲፫፻፶፯ ዓ.ም.
1090,አባ ጊዮርጊስ ዘጋስጭ አባት ማን ናቸው?,ሕዝበ ጽዮን 
1091,አባ ጊዮርጊስ ዘጋስጭ በስንት ዓመታቸው አረፉ?,በ፷
1092,አባ ጊዮርጊስ ዘጋስጭ መቼ አረፉ?,በ፲፬፻፲፯ ዓ.ም. ሐምሌ ፯ ቀን
1093,አቡነ ጴጥሮስ መቼ ለግራዚያኒ ቀረቡ?,ሐምሌ 22 ቀን 1928 
1094,ጣሊያን ፋሺስት ዳግም ወደ ኢትዮጵያ መቼ መጣ?,በ፲፱፳፰ ዓ.ም. 
1095,ብፁዕ አቡነ ጴጥሮስ አልሸሽም ብለው መቼ ለኢጣሊው እንደራሴ ለራስ ኃይሉ እጃቸውን ሰጡ?,ሐምሌ 22 ቀን 1928 ዓ.ም
1096,የብፁዕ አቡነ ጴጥሮስ ሐውልት መቼ ተሰራ?,ሐምሌ 16 ቀን 1938 ዓ.ም
1097,የብፁዕ አቡነ ጴጥሮስ ሐውልት በማን አሳሳቢነት ተሰራ?,በግርማዊ ቀዳማዊ ንጉሠ ነገሥት
1098,አረማይክ የምን ቋንቋ ነው?,የሶርያ ቋንቋ 
1099,አረማይክ ከምን ቋንቋ ቤተሰብ ይመደባል?,ከሴማዊ ቋንቋዎች
1100,አረማይክ ቋንቋ ይፋዊ ቋንቋ መቼ ተደረገ?,በ740 ዓክልበ.
1101,አረማይክ ቋንቋን ይፋዊ ቋንቋ ያደረገው የአሦር ንጉሥ ማነው?,ቴልጌልቴልፌልሶር
1102,የብረት ማዕድናት በስንት ይከፈላሉ?,በሁለት
1103,አንድ ትሮይ ስንት ግራም ነው?,ሠላሳ አንድ ነጥብ አስር ግራም
1104,ንፁህ ብር ምን በመባል ይታወቃል?,እስተርሊንግ ሲልቨር
1105,ወርቅ የይዘቱ ሚዛን የሚለካው በምንድን ነው?,በትሮይ አውንስ
1106,በፈረንሳይ አገር ከሚገኘው ከዘመናት በፊት የወርቅና የብር እንዲሁም የተለያዩ የከበሩ ማዕድናት ይሸጥበት ከነበረው ትሮይስ ከተማ ምን የሚለው ስያሜ ተገኘ?,ትሮይ
1107,በጣም ንፁህ የሆነ ወርቅ መጠን ምን ያህል ይሆናል?,ሃያ አራት ካራት
1108,የተክዋሜ ንክሩማህ የት ተወለደ?,ደቡባዊ ምዕራብ ጋና
1109,በ1935 የትኛውን ዩንቨርሲቲ ተቀላቀለ?,የፔንሴልቬኒያውን ሊንከን ዩኒቨርሲቲ
1110,የተክዋሜ ንክሩማህ መቼና የት ተወለደ?,በ1909 እ.ኤ.አ.
1111,ንክሩማህ የመምህርነት ምስክር ወረቀት መቼ አገኘ?,በ1926 እ.ኤ.አ.
1112,አሩሪ አተር ወደ ኢትዮጵያ መቼ ገባ?,በ1950ዎቹ
1113,ከአኩሪ አተር ምን ይዘጋጃል?,ወተት እና አይቡ እንደሚገኝ ሁሉ የአኩሪ አተር ሥጋም አለዉ።
1114,አኩሪ አተር በውስጡ ምን ንጥረ ነገሮችን ይዟል?,በፕሮቲን እና ቅባት ምንጭነቱ የሚወዳደረዉ የእህል ዘር 
1115,በኢትዮጵያ ስንት አይነት የአኩሪ አተር ዝርያ አለ?,22 ዓይነት ዘሮች
1116,አኩሪ አተር በኢትዮጵያ ውስጥ በብዛት የት ይመረታል?,በቤንሻንጉል ጉምዝ እና በኦሮሚያ ክልል
1117,አኩሪ አተር በአለም ላይ በብዛት የት ይመረታል?,ዩናትድ ስቴትስ፤ ብራዚል እና አርጀንቲና 
1118,ጀስቱን ቢበር በግራሚ ምርጥ የዳንስ ቅጅ በሚባል ፈረጅ ሊሸለም ያረገው ዘፈኑ ምንድን ነው?,ዌር ኧር ዩ ናው
1119,ጀስቲን ቢበር ምን ያህል ቅጅዋችን ሸጧል?,ከአንድ መቶ ሀምሳ ሚልየን ቅጂዎች በላይ
1120,ጀስቲን ቢበር መቼ ተወለደ?,በ፲፻፱፻፹፮ በመጋቢት
1121,ጀስቲን ቢበር ለመጀመሪያ ጊዜ የተመለመለው በማን ነው?,በአሜሪካዊው የቅጂ ድርጅት ባለቤት እስኩተር ብሮን
1122,ጀስቲን ቢበር እውቅናን እንዴት አገኘ?,በ፪፲፻፩ የመጀመሪያ ኢፒ(EP)
1123,ጀስቲን ቢበር ከህዝብ ጋር መቼ ተጋጨ?,ሁለት ሺ አራት
1124,የትራምፕ አባትና እናት እነማን ናቸው?,እናቱ ሜሪ አን እና ለአባቱ ፍሬድ ትራምፕ 
1125,የዶናልድ ትራምፕ አያቶች ከየት ናቸው?,ጀርመናዊ
1126,ትራምፕ ለቤቱ ስንተኛ ልጅ ነው?,አራተኛ
1127,ዶናልድ ጆን ትራንፕ መቼ ተወለደ?,ጁን 14\xa0ቀን 1946\xa0እ.ኤ.አ.
1128,45ኛው\xa0የዩናይትድ\xa0ስቴትስ\xa0ኦፍ\xa0አሜሪካ ፕሬዚደንት ማን ነው?,ዶናልድ ጆን ትራምፕ
1129,ትራምፕ የፕሬዝደንትነት ስልጣን ላይ መቼ ወጣ?,እ.ኤ.አ. በጃኑዌሪ 20 ቀን 2017
1130,ትራምፕ በኮሌጅ እያለ የት ድርጅት ይሰራ ነበር?,ኤሊዛቤት ትራምፕ ኤንድ ሰንስ
1131,ዘኦፕሬንተስ የተባለው ፕሮግራም በኤን ቢ ሲ ላይ መቼ ቀረበ?,በእ.ኤ.አ. 1971
1132,ትራምፕ ለመጀመሪያ ጊዜ ለዮናይትድ ስቴትስ ፕሬዘዳንትነት ተወዳዳሪ ለሁለት የሪፎርም ፓርቲ እጩነት ያሸነፈው መቼ ነበር?,እ.ኤ.አ. በ2000
1133,በ2015 ለፕሬዝዳንትነት እንደሚወዳደረ ያሳወቁት የትኛውን የፖለቲካ ፓርቲን በመቀላቀል ነው?,የሪፐብሊካን ፓርቲን
1134,ትራምፕ በስንት አመቱ ስልጣን ላይ ወጣ?,በ70 ዓመቱም
1135,ትራምፕ የት ተወለደ?,በክዊንስ ኒው ዮርክ ከተማ
1136,የቪስቶሶሚሲስ በሽታ በምን ሕዋስ አማካኝነት ይተላለፋል?,ሺስቶሶማ
1137,የቪስቶሶሚሲስ በሽታ ምን ሊያጠቃ ይችላል?,የ ሽንት መተላለፊያ ወይም አንጀት
1138,የቪስቶሶሚሲስ የህመሙ ምልክት ምንድን ነው?,የሆድ ህመም፣ ተቅማጥ፣ ደም የተቀላቀለበት ሰገራ ወይም በሽንት ላይ ደም መታየት
1139,የቪስቶሶቶሚሲስ በሽታ ሲቆይ በልጆች ላይ ምን ሊያስከትል ይችላል?,ዝቅተኛ እድገትና የመማር ችግር
1140,የቪስቶሶቶሚሲስ በሽታ ሲቆይ በአዋቂዎች ላይ ምን ሊያስከትል ይችላል?,የጉበት ህመም፣ የኩላሊት ስራ ማቆም፣ መሃንነት ፣ ወይም የፊኛ ካንሰር
1141,የቢልሃርዝያ በሽታ እንዴት ይሰራጫል?,ትላትሎቹ ያሉበት ውሀ ላይ በሚፈጠር የቆዳ ንክኪ
1142,የብልሃርዝያ በሽታ አምጪ ትሎች ከምን ይመነጫሉ?,ከተበከሉ ቀንድ አውጣዎች
1143,በሽታውን እንዴት መከላከል ይቻላል?,ንፁህ ውህ አቅርቦትን ማሻሻልና የቀንድኣውጣ ቊጥርን መቀነስ
1144,የቅዱስ ላሊበላ ወላጆች እነማን ናቸው?,ከ እናቱ ከኬርዮርና ከአባቱ ዛንስዮም
1145,ቅዱስ ገብረ ማርያም ንግስናውን ለቅዱስ ላሊበላ በስንት ዓመቱ አስረከበው?,በ57 አመቱ 
1146,ቅዱስ ላሊበላ ለምን ያህል ጊዜ ነገሰ?,40 አመት
1147,ቅዱስ ላሊበላ መቼ ተወለደ?,በ 1101 አ.ም ትህሳስ 29 ቀን
1148,ቅዱስ ላሊበላ የት ተወለደ?,ላሰታ ቡግና ወረዳ ሮሃ ከተባለች ቦታ
1149,የእብድ ውሻ በሽታው ምልክት በምን ያህል ጊዜ ይታያል?,በአብዛኛውን ጊዜ ከአንድ እሰከ ሶስት ወራት ባሉት ጊዜ ውስጥ
1150,የእብድ ውሻ በሽታ በአለም ደረጃ ምን ያህል ሰዎችን ለሞት እየዳረገ ነው?,"ከ26,000 እሰከ 55,000 "
